,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
88,torrington,41.8,-73.12,42.01,93,92,5.99,US,1604282358
89,saint george,37.1,-113.58,71.6,11,1,3.36,US,1604282114
90,kandrian,-6.22,149.55,85.53,70,45,6.24,PG,1604282295
91,chuy,-33.7,-53.46,52.92,85,0,4.81,UY,1604282359
92,tubuala,9.52,-79.03,77.0,94,40,5.82,PA,1604282359
93,nanortalik,60.14,-45.24,32.02,89,0,39.35,GL,1604282359
94,kargil,34.57,76.1,29.17,82,0,0.29,IN,1604282360
95,butaritari,3.07,172.79,82.24,77,66,9.89,KI,1604282360
96,comodoro rivadavia,-45.87,-67.5,66.2,63,0,4.14,AR,1604282360
97,saryozek,44.36,77.98,36.63,69,20,2.17,KZ,1604282360
98,vao,-22.67,167.48,74.71,82,100,15.73,NC,1604282361
99,muzhi,65.37,64.67,23.41,93,94,12.59,RU,1604282361
100,kahului,20.89,-156.47,87.8,55,40,10.29,US,1604282269
101,maneadero,31.72,-116.57,64.0,86,0,1.99,MX,1604282361
102,victoria,22.29,114.16,79.0,62,100,10.45,HK,1604282241
103,arys,42.43,68.8,41.0,30,0,8.95,KZ,1604282362
104,kruisfontein,-34.0,24.73,64.0,82,20,1.99,ZA,1604282362
105,sao felix do xingu,-6.64,-51.99,72.93,92,100,3.24,BR,1604282362
106,ridgecrest,35.62,-117.67,69.01,10,43,3.0,US,1604282363
107,kavaratti,10.57,72.64,81.0,71,0,1.74,IN,1604282363
108,carnarvon,-24.87,113.63,71.6,56,40,16.11,AU,1604282114
109,cap-aux-meules,47.38,-61.86,48.2,87,100,19.46,CA,1604282363
110,angoche,-16.23,39.91,76.53,85,34,5.61,MZ,1604282363
111,lima,-12.04,-77.03,62.6,82,75,11.41,PE,1604282066
112,san carlos de bariloche,-41.15,-71.31,64.4,42,0,11.41,AR,1604282364
113,senador jose porfirio,-2.59,-51.95,80.04,64,100,1.34,BR,1604282364
114,praia,14.92,-23.51,77.0,83,20,6.93,CV,1604282364
115,georgetown,5.41,100.34,80.6,88,20,3.36,MY,1604282139
116,saint-philippe,-21.36,55.77,69.8,56,90,8.05,RE,1604282365
117,avarua,-21.21,-159.78,78.8,83,90,14.99,CK,1604282365
118,bambous virieux,-20.34,57.76,68.0,100,20,4.7,MU,1604282365
119,kaspiyskiy,45.39,47.37,51.12,53,54,5.84,RU,1604282366
120,faanui,-16.48,-151.75,80.42,79,0,18.92,PF,1604282366
121,ngunguru,-35.62,174.5,75.0,72,100,13.0,NZ,1604282366
122,qaanaaq,77.48,-69.36,2.79,74,0,6.31,GL,1604282367
123,constitucion,-35.33,-72.42,51.78,90,33,7.0,CL,1604282156
124,bontang,0.13,117.5,80.89,78,100,10.4,ID,1604282367
125,venado tuerto,-33.75,-61.97,61.0,66,0,8.01,AR,1604282367
126,grindavik,63.84,-22.43,35.6,74,75,8.05,IS,1604282368
127,tuktoyaktuk,69.45,-133.04,14.0,85,90,12.75,CA,1604282368
128,vytegra,61.01,36.45,29.98,95,0,7.83,RU,1604282368
129,labuhan,-6.88,112.21,83.7,70,100,6.53,ID,1604282369
130,airai,-8.93,125.41,79.03,39,98,4.56,TL,1604282369
131,nanzhang,31.78,111.84,66.54,39,34,3.44,CN,1604282369
132,torbay,47.67,-52.73,37.0,74,20,12.75,CA,1604282369
133,kapaa,22.08,-159.32,80.6,78,75,11.41,US,1604282370
134,samarai,-10.62,150.67,83.71,74,69,10.16,PG,1604282370
135,salalah,17.02,54.09,73.4,40,0,3.36,OM,1604282370
136,klaksvik,62.23,-6.59,44.6,87,10,16.11,FO,1604282371
137,poum,-20.23,164.02,79.0,75,45,10.76,NC,1604282371
138,leningradskiy,69.38,178.42,17.01,83,83,4.43,RU,1604282371
139,aksu,41.12,80.26,38.86,63,0,1.41,CN,1604282371
140,souillac,-20.52,57.52,64.4,100,20,4.7,MU,1604282372
141,longyearbyen,78.22,15.64,35.6,69,0,28.86,SJ,1604282372
142,arkhangelsk,64.54,40.54,32.0,97,90,4.47,RU,1604282372
143,erenhot,43.65,111.98,25.32,70,0,12.91,CN,1604282239
144,ribeira grande,38.52,-28.7,63.07,75,57,18.3,PT,1604281995
145,leh,34.17,77.58,29.23,68,0,2.53,IN,1604282373
146,oistins,13.07,-59.53,82.4,78,40,21.92,BB,1604282295
147,taltal,-25.4,-70.48,58.69,67,7,5.35,CL,1604282136
148,berlevag,70.86,29.09,43.41,84,100,34.05,NO,1604282374
149,paveh,35.04,46.36,45.66,56,53,3.74,IR,1604282374
150,hobyo,5.35,48.53,79.7,77,2,4.09,SO,1604282374
151,sur,22.57,59.53,69.21,34,0,0.67,OM,1604282374
152,namatanai,-3.67,152.43,84.36,71,55,3.18,PG,1604282375
153,nemuro,43.32,145.57,62.6,63,75,18.34,JP,1604282375
154,talnakh,69.49,88.4,19.4,85,75,6.71,RU,1604282375
155,roscommon,53.63,-8.18,44.96,88,100,9.98,IE,1604282375
156,chokurdakh,70.63,147.92,-0.51,93,100,12.08,RU,1604282376
157,kasangulu,-4.59,15.17,73.4,88,75,2.15,CD,1604282376
